Date,Open,High,Low,Close,Change
20241202,256.87,258.84,256.87,257.84,1.12
20241203,258.30,260.30,258.30,259.11,1.27
20241204,259.13,262.62,259.13,262.60,3.49
20241205,262.77,264.25,262.77,263.39,0.79
20241206,263.36,263.74,261.02,261.52,-1.87
20241209,261.44,262.28,259.85,260.47,-1.05
20241210,260.51,261.66,258.17,258.21,-2.26
20241211,257.90,259.33,257.53,257.78,-0.43
20241212,258.21,260.24,257.38,257.38,-0.40
20241213,257.35,257.83,254.79,255.29,-2.09
20241216,255.54,256.45,250.10,250.10,-5.19
